_id;correspond;jumlah;kata;level
5ccc56879e1a9a1cefa46cf0;D;6637;lagi;first
5ccc57219e1a9a1cefa46d0b;I;4362;hidup;seed
5ccc56969e1a9a1cefa46cfe;D;3715;segera;seed
5ccc56909e1a9a1cefa46cfc;D;2848;baru;seed
5ccc572b9e1a9a1cefa46d0e;D;1976;hasil;seed
5ccc568b9e1a9a1cefa46cf7;D;1366;balik;first
5ccc57509e1a9a1cefa46d17;D;1252;kuat;seed
5ccc56889e1a9a1cefa46cf2;S;1183;biasa;seed
5ccc568d9e1a9a1cefa46cfa;D;1057;langsung;seed
5ccc569f9e1a9a1cefa46d01;D;908;pertama;first
5ccc57299e1a9a1cefa46d0c;S;816;sabar;seed
5ccc56909e1a9a1cefa46cfb;S;772;tenang;seed
5ccc56899e1a9a1cefa46cf3;D;725;dasar;first
5ccc56b09e1a9a1cefa46d05;D;699;junior;first
5ccc56d49e1a9a1cefa46d06;D;681;cepat;seed
5ccc57209e1a9a1cefa46d0a;D;665;kecil;first
5ccc568a9e1a9a1cefa46cf4;D;571;awal;first
5ccc57ec9e1a9a1cefa46d3e;D;555;perdana;first
5ccc568c9e1a9a1cefa46cf8;I;518;status;seed
5ccc56889e1a9a1cefa46cf1;C;375;ikhlas;first
5ccc57cd9e1a9a1cefa46d3a;C;355;seni;first
5ccc56a79e1a9a1cefa46d03;D;354;bawah;seed
5ccc56d49e1a9a1cefa46d07;C;321;siang;first
5ccc57799e1a9a1cefa46d1c;D;301;tegas;seed
5ccc578a9e1a9a1cefa46d1f;I;286;optimis;seed
5ccc57429e1a9a1cefa46d12;C;243;resmi;seed
5ccc56a69e1a9a1cefa46d02;D;237;fokus;seed
5ccc58119e1a9a1cefa46d47;D;229;tindakan;seed
5ccc57ff9e1a9a1cefa46d43;D;212;taman;first
5ccc568a9e1a9a1cefa46cf5;D;206;mantap;first
5ccc57a09e1a9a1cefa46d2c;D;205;pajak;first
5ccc57b69e1a9a1cefa46d35;I;200;koneksi;first
5ccc57959e1a9a1cefa46d24;I;190;sosial;seed
5ccc572c9e1a9a1cefa46d0f;S;189;tulus;seed
5ccc579f9e1a9a1cefa46d2b;C;181;kualitas;seed
5ccc578e9e1a9a1cefa46d20;C;176;prestasi;seed
5ccc568b9e1a9a1cefa46cf6;C;175;fakta;seed
5ccc57439e1a9a1cefa46d13;I;172;ramah;seed
5ccc58009e1a9a1cefa46d44;D;168;baharu;first
5ccc56a79e1a9a1cefa46d04;S;164;cakap;first
5ccc579f9e1a9a1cefa46d2a;S;154;stabil;seed
5ccc57329e1a9a1cefa46d10;C;152;detail;seed
5ccc571f9e1a9a1cefa46d08;C;149;bersih;seed
5ccc57569e1a9a1cefa46d19;I;121;kursi;first
5ccc56919e1a9a1cefa46cfd;C;120;saksi;first
5ccc57ed9e1a9a1cefa46d3f;I;118;otomatis;first
5ccc57fc9e1a9a1cefa46d42;I;118;rekomendasi;first
5ccc57909e1a9a1cefa46d21;S;112;peran;seed
5ccc57969e1a9a1cefa46d25;S;104;hangat;seed
5ccc569d9e1a9a1cefa46d00;S;100;santai;first
5ccc57469e1a9a1cefa46d15;I;99;kelompok;seed
5ccc57ed9e1a9a1cefa46d40;C;89;waspada;seed
5ccc57989e1a9a1cefa46d28;C;79;efektif;seed
5ccc57b79e1a9a1cefa46d36;D;74;persepsi;first
5ccc56969e1a9a1cefa46cff;D;68;ide;seed
5ccc57aa9e1a9a1cefa46d30;S;63;konsisten;seed
5ccc57989e1a9a1cefa46d27;C;62;tantang;first
5ccc571f9e1a9a1cefa46d09;C;59;beres;first
5ccc57a69e1a9a1cefa46d2e;D;56;hijau;first
5ccc568d9e1a9a1cefa46cf9;S;52;sopan;seed
5ccc57529e1a9a1cefa46d18;D;51;pendek;first
5ccc57999e1a9a1cefa46d29;D;45;halaman;seed
5ccc57c19e1a9a1cefa46d39;I;42;kompleks;first
