_id;correspond;first
5cb0f34f9e1a9a22af094403;C;investigatif
5cb0f3529e1a9a22af09440a;C;tajam
5cb0f3549e1a9a22af09442b;C;investigasi
5cb0f35a9e1a9a22af094456;C;subtil
5cb0f35b9e1a9a22af09445e;C;tersusun
5cb0f35d9e1a9a22af094467;I;menggebu
5cb0f35e9e1a9a22af09446b;I;membara
5cb0f3619e1a9a22af094480;I;menggelegak
5cb0f3699e1a9a22af0944ae;I;kegairahan
5cb0f36f9e1a9a22af0944c3;D;trendi
5cb0f3709e1a9a22af0944c8;D;hijau
5cb0f3709e1a9a22af0944d0;D;perdana
5cb0f3719e1a9a22af0944d3;D;lagi
5cb0f3729e1a9a22af0944da;D;anyar
5cb0f3759e1a9a22af0944e4;D;junior
5cb0f3779e1a9a22af0944f0;D;segar
5cb0f3799e1a9a22af09450a;D;terkini
5cb0f37a9e1a9a22af09450b;D;pertama
5cb0f37c9e1a9a22af094524;D;lantas
5cb0f37e9e1a9a22af094530;D;awal
5cb0f3829e1a9a22af094562;D;baharu
5cb0f3839e1a9a22af094563;D;baruh
5cb0f3849e1a9a22af09456f;D;balik
5cb0f3859e1a9a22af094577;D;pendek
5cb0f3869e1a9a22af09457e;D;kecil
5cb0f38b9e1a9a22af0945aa;D;dasar
5cb0f38c9e1a9a22af0945e7;D;kolong
5cb0f3a49e1a9a22af094639;C;ihram
5cb0f3a69e1a9a22af094651;C;beres
5cb0f3a79e1a9a22af094667;C;otentik
5cb0f3a89e1a9a22af09466b;C;ikhlas
5cb0f3aa9e1a9a22af09467a;C;kalis
5cb0f3ac9e1a9a22af094688;C;resik
5cb0f3ad9e1a9a22af09468b;C;lindang
5cb0f3b09e1a9a22af094697;C;neto
5cb0f3b19e1a9a22af094698;C;persih
5cb0f3b29e1a9a22af094699;C;kilap
5cb0f3b39e1a9a22af09469e;C;sportif
5cb0f3b59e1a9a22af0946a1;C;kikis
5cb0f3bc9e1a9a22af0946c6;C;taharah
5cb0f3bd9e1a9a22af0946c8;C;tahrir
5cb0f3c09e1a9a22af0946ca;C;steril
5cb0f3c19e1a9a22af0946d2;C;ludes
5cb0f3c89e1a9a22af094702;C;labas
5cb0f3db9e1a9a22af094744;C;higienis
5cb0f3e29e1a9a22af094762;C;siang
5cb0f3e49e1a9a22af094764;S;koman
5cb0f3e59e1a9a22af094765;S;rutin
5cb0f3e79e1a9a22af094769;S;banal
5cb0f3e99e1a9a22af094779;S;sewajarnya
5cb0f3ea9e1a9a22af09477f;S;luwes
5cb0f3eb9e1a9a22af094784;S;elementer
5cb0f3ed9e1a9a22af09478d;S;preman
5cb0f3ef9e1a9a22af09479a;S;teradat
5cb0f3f19e1a9a22af09479d;S;lasak
5cb0f3f29e1a9a22af0947a1;S;cakap
5cb0f3f39e1a9a22af0947c7;S;prosais
5cb0f3f49e1a9a22af0947ce;S;populer
5cb0f3f89e1a9a22af0947e4;S;terkondisi
5cb0f3f89e1a9a22af0947e5;S;ordiner
