correspond;first
C;investigatif
C;tajam
C;investigasi
C;tersusun
C;beres
C;resik
C;kilap
C;sportif
C;fasih
C;perincian
C;spesifikasi
C;uraian
C;manjur
C;berdaya guna
C;berkhasiat
C;mempan
C;berhasil guna
C;saksi
C;kebenaran
C;kejituan
C;presisi
C;efisiensi
C;kepintaran
C;akal sehat
C;tantang
C;menguraikan
C;mengupas
C;kemajuan
C;kenaikan
C;alternatif
C;performa
C;menjaga diri
D;trendi
D;hijau
D;perdana
D;lagi
D;anyar
D;segar
D;terkini
D;pertama
D;awal
D;dasar
D;buru-buru
D;banter
D;taman
D;rakitan
D;pendapatan
D;inisiatif
D;pengertian
D;persepsi
D;kelebihan
D;pengendalian
D;berpengaruh
D;solid
D;pagan
D;tahan lama
D;mantap
D;direk
D;menemui
D;menganggap
D;tawakal
D;terdiri
D;tercipta
D;arah tujuan
D;lesan
D;mata alamat
I;menggebu
I;membara
I;kegairahan
I;perhubungan
I;jalinan
I;saluran
I;koneksi
I;asosiasi
I;jaringan
I;sangkut-paut
I;hablun
I;interaksi
I;kekerabatan
I;keberuntungan
I;keuntungan
I;kelezatan hidup
I;kesukacitaan
I;kegirangan
I;gerombolan
I;kesediaan
I;keikhlasan
I;rekomendasi
I;kekhilafan
I;kelalaian
S;koman
S;rutin
S;sewajarnya
S;luwes
S;preman
S;cakap
S;terkondisi
S;naif
S;kebanyakan
S;takut-takut berani
S;rusuh pikiran
S;imbang-imbangan
S;limbung
S;santai
S;tidak resmi
S;tangan kanan
S;pengorbanan
S;menolong
S;mengulas tangan
S;menggemboskan
S;mengantapkan
S;toleran
S;berpadang luas
S;mapan
S;kestabilan
S;keseimbangan
S;melar
S;longo
S;melompong
S;blakblakan
