_id;correspond;second
5cb0f3ad9e1a9a22af09468a;C;meresik
5cb0f3ae9e1a9a22af09468c;C;lingkap
5cb0f3ae9e1a9a22af09468d;C;semerawang
5cb0f3ae9e1a9a22af09468e;C;telus
5cb0f3af9e1a9a22af09468f;C;menjantang
5cb0f3af9e1a9a22af094690;C;tembus sinar
5cb0f3af9e1a9a22af094691;C;hening
5cb0f3af9e1a9a22af094692;C;tembus cahaya
5cb0f3af9e1a9a22af094693;C;tembus pandang
5cb0f3929e1a9a22af0945ed;I;bermoral
5cb0f3929e1a9a22af0945ee;I;berkarakter
5cb0f3929e1a9a22af0945ef;I;berperangai
5cb0f3929e1a9a22af0945f0;I;berbudi pekerti
5cb0f3929e1a9a22af0945f1;I;berkelakuan
5cb0f3929e1a9a22af0945f2;I;berkepribadian
5cb0f3949e1a9a22af0945f3;I;bertenaga
5cb0f3969e1a9a22af0945f4;I;bermimpi
5cb0f3969e1a9a22af0945f5;I;bermaksud
5cb0f3969e1a9a22af0945f6;I;berkeinginan
5cb0f3969e1a9a22af0945f7;I;bertekad
5cb0f3969e1a9a22af0945f8;I;berhajat
5cb0f3969e1a9a22af0945f9;I;berniat
5cb0f3969e1a9a22af0945fa;I;bercita-cita
5cb0f3969e1a9a22af0945fb;I;beriktikad
5cb0f3969e1a9a22af0945fc;I;berminat
5cb0f3969e1a9a22af0945fd;I;berkemauan
5cb0f3969e1a9a22af0945fe;I;berangan-angan
5cb0f3969e1a9a22af0945ff;I;berharap
5cb0f39a9e1a9a22af094600;I;keras
5cb0f39a9e1a9a22af094601;I;khusyuk
5cb0f39a9e1a9a22af094602;I;dahsyat
5cb0f39a9e1a9a22af094603;I;mencolok
5cb0f39a9e1a9a22af094604;I;tekun
5cb0f39a9e1a9a22af094605;I;teruk
5cb0f39c9e1a9a22af094606;I;bercorak
5cb0f39c9e1a9a22af094607;I;bertemperamen
5cb0f39c9e1a9a22af094608;I;berkeadaan
5cb0f39c9e1a9a22af094609;I;berunsur
5cb0f39c9e1a9a22af09460a;I;berupa
5cb0f39d9e1a9a22af09460b;I;tegak
