correspond;second
C;murni
C;kudus
C;suci
C;pasti
C;eksplisit
C;jelas
C;jernih
C;cerah
C;bersinar
C;kemas
C;normal
C;tertata
C;teratur
C;simpan
C;siap
C;putus
C;selesai
C;autentik
C;asli
C;tulen
C;jujur
C;terencana
C;terarah
C;kebal
C;buram
C;imun
C;riang
C;senang
C;nyaring
C;sistematis
C;mendalam
C;bersistem
C;terorganisasi
C;skematis
C;drastis
C;intens
C;lancip
C;inteligen
C;cerdas
C;cendekia
C;lihai
C;bersanding
C;intelek
C;cemerlang
C;terang akal
C;pedas
C;kontras
C;encer
C;penelitian
C;pengusutan
C;penyidikan
C;pendalaman
C;interogasi
C;eksplorasi
C;penggalian
C;penyelidikan
C;bermutu
C;intern
C;internal
C;berkualitas
C;paham
C;berarti maksud
C;serius
C;lanjut
C;berbobot
C;terperinci
C;intensif
C;dekat
C;benar-benar
C;valid
C;ketemu akal
C;masuk akal
C;licin
C;lumat
C;cerdik
C;terjalin
C;apik
C;berpola
C;teragendakan
C;bersusun
C;terjadwal
C;terancang
C;beraturan
C;kilat
C;bonafide
C;amblas
C;binasa
C;jati
C;baik-baik
C;sejati
C;orisinal
C;pribumi
C;sepi
C;persis
C;piawai
C;cocok
C;adil
C;betulan
C;tulus ikhlas
C;mandul
C;subur
C;antiseptik
C;impoten
C;hanyut
C;garis
C;berakal
C;retak
C;benderang
C;bubar
C;kosong
C;rugi
C;usai
C;tandus
C;berhenti
C;tumpas
C;jatuh
C;final
C;suntuk
C;lewat
C;lenyap
C;terus terang
C;lempeng hati
C;bulat hati
C;validitas
C;blak-blakan
C;sidang
C;dewan
C;indah
C;cantik
C;artistik
C;forum
C;rapat
C;bersedia
C;berkilauan
C;gilang-gemilang
C;berkilat
C;gemerlap
C;pintar
C;seminar
C;pandai
C;genius
C;berbinar-binar
C;pisah
C;cerai
C;bercerai
C;buntung
C;hemat
C;telaten
C;korek
C;awas
C;siasat
C;ekonomis
C;teliti
C;hati-hati
C;ketat
C;eksak
C;akurat
C;pemandian
C;toilet
C;siaga
C;menggelap
C;lulus
C;musnah
C;terbang
C;menguap
C;lucut
C;lelap
C;gampang
C;bengkok
C;licik
C;culas
C;curang
C;deras
C;lancar
C;tajam pikiran
C;pandai bicara
C;pantas mulut
C;berpikiran
C;berpengetahuan
C;terpelajar
C;tajam mata
C;selidik
C;ingat-ingat
C;perdata
C;tahu etiket
C;berpaham
C;cendekiawan
C;bernalar
C;intelektual
C;berdaya
C;berbenak
C;ampuh
C;digdaya
C;otak encer
C;banyak akal
C;mengerti
C;beropini
C;berpendapat
C;berpandangan
C;berpendirian
C;berideologi
C;beranggapan
C;berprinsip
C;berasumsi
C;cungkil
C;gorek
C;geretan
C;gerek
C;jitu
C;taktik
C;kecaman
C;teguran
C;hukuman
C;diplomasi
C;periksa
C;kritik
