correspond;seed
C;menantang
C;bijaksana
C;pertumbuhan
C;kualitas
C;menganalisis
C;detail
C;waspada
C;fakta
C;analitis
C;ketepatan
C;ditebak
C;pilihan
C;logis
C;prestasi
C;logika
C;keahlian
C;kompetensi
C;cermat
C;perfeksionis
D;fokus
D;menerima
D;ide
D;mencapai
D;praktis
D;tindakan
D;tujuan
D;langsung
D;kemenangan
D;hasil
D;mendapatkan
D;terjadi
I;kelompok
I;pendapat
I;antusias
I;kebahagiaan
I;konseling
I;sosial
I;ramah
I;antusiasme
I;bersemangat
I;terusterang
I;kerelaan
I;optimis
I;pembinaan
I;menyenangkan
I;taksir
I;berenergi
I;pengakuan
I;status
I;impulsif
I;hubungan
I;ekspresif
I;kegembiraan
I;perasaan
S;sabar
S;diandalkan
S;stabilitas
S;membantu
S;stabil
S;biasa
S;kerjasama
S;kepercayaan
S;tenang
S;keamanan
S;konsisten
