"_id";correspond;second
5cdf01fe45d3d811cf7722b4;C;murni
5cdf01fe45d3d811cf7722b5;C;kudus
5cdf01fe45d3d811cf7722b6;C;suci
5cdf01fe45d3d811cf7722b7;C;pasti
5cdf01fe45d3d811cf7722b8;C;eksplisit
5cdf01fe45d3d811cf7722b9;C;jelas
5cdf01fe45d3d811cf7722ba;C;jernih
5cdf01fe45d3d811cf7722bb;C;cerah
5cdf01fe45d3d811cf7722bc;C;bersinar
5cdf01fe45d3d811cf7722bd;C;kemas
5cdf01fe45d3d811cf7722be;C;normal
5cdf01fe45d3d811cf7722bf;C;tertata
5cdf01fe45d3d811cf7722c0;C;teratur
5cdf01fe45d3d811cf7722c1;C;simpan
5cdf01fe45d3d811cf7722c2;C;siap
5cdf01fe45d3d811cf7722c3;C;putus
5cdf01fe45d3d811cf7722c4;C;selesai
5cdf01fe45d3d811cf7722c5;C;autentik
5cdf01fe45d3d811cf7722c6;C;asli
5cdf01fe45d3d811cf7722c7;C;tulen
5cdf01fe45d3d811cf7722c8;C;jujur
5cdf01fe45d3d811cf7722c9;C;terencana
5cdf01fe45d3d811cf7722ca;C;terarah
5cdf01fe45d3d811cf7722cb;C;kebal
5cdf01fe45d3d811cf7722cc;C;buram
5cdf01fe45d3d811cf7722cd;C;imun
5cdf01fe45d3d811cf7722ce;C;riang
5cdf01fe45d3d811cf7722cf;C;senang
5cdf01fe45d3d811cf7722d0;C;nyaring
5cdf01fe45d3d811cf7722d1;C;sistematis
5cdf01fe45d3d811cf7722d2;C;mendalam
5cdf01fe45d3d811cf7722d3;C;bersistem
5cdf01fe45d3d811cf7722d4;C;terorganisasi
5cdf01fe45d3d811cf7722d5;C;skematis
5cdf01fe45d3d811cf7722d6;C;drastis
5cdf01fe45d3d811cf7722d7;C;intens
5cdf01fe45d3d811cf7722d8;C;lancip
5cdf01fe45d3d811cf7722d9;C;inteligen
5cdf01fe45d3d811cf7722da;C;cerdas
5cdf01fe45d3d811cf7722db;C;cendekia
5cdf01fe45d3d811cf7722dc;C;lihai
5cdf01fe45d3d811cf7722dd;C;bersanding
5cdf01fe45d3d811cf7722de;C;intelek
5cdf01fe45d3d811cf7722df;C;cemerlang
5cdf01fe45d3d811cf7722e0;C;terang akal
5cdf01fe45d3d811cf7722e1;C;pedas
5cdf01fe45d3d811cf7722e2;C;kontras
5cdf01fe45d3d811cf7722e3;C;encer
5cdf01fe45d3d811cf7722e4;C;penelitian
5cdf01fe45d3d811cf7722e5;C;pengusutan
5cdf01fe45d3d811cf7722e6;C;penyidikan
5cdf01fe45d3d811cf7722e7;C;pendalaman
5cdf01fe45d3d811cf7722e8;C;interogasi
5cdf01fe45d3d811cf7722e9;C;eksplorasi
5cdf01fe45d3d811cf7722ea;C;penggalian
5cdf01fe45d3d811cf7722eb;C;penyelidikan
